"","X","cluster"
"824","NTEC",1
"825","FBIO",1
"826","GLPG",1
"827","AGRX",1
"828","AGTC",1
"829","CBIO",1
"830","SPNE",1
"831","IMUC",1
"832","INFU",1
"833","MGNX",1
"834","AMEH",1
"835","AXSM",1
"836","HTBX",1
"837","KALV",1
"838","MCRB",1
"839","REPH",1
"840","PSTI",1
"841","FVE",1
"842","IBIO",1
"843","VNRX",1
"844","CERC",1
"845","CBMG",1
"846","ASND",1
"847","ANIK",1
"848","PRQR",1
"849","UTMD",1
"850","CATB",1
"851","MTNB",1
"852","RSLS",1
"853","ZYNE",1
"854","SNOA",1
"855","NSPR",1
"856","RDHL",1
"857","SPHS",1
"858","NHC",1
"859","INFI",1
"860","BSPM",1
"861","ATOS",1
"862","BIOL",1
"863","MNOV",1
"864","NURO",1
"865","OXFD",1
"866","PFNX",1
"867","RVP",1
"868","SNGX",1
"869","CSBR",1
"870","AVGR",1
"871","ACHV",1
"872","ALT",1
"873","ANTH",1
"874","CHFS",1
"875","CPIX",1
"876","DRIO",1
"877","LIFE",1
"878","LPCN",1
"879","NEPT",1
"880","TROV",1
"881","TTNP",1
"882","VTVT",1
"883","FWP",1
"884","ALBO",1
"885","JYNT",1
"886","CWBR",1
"887","CYAD",1
"888","AKER",1
"889","ATRI",1
"890","AHPI",1
"891","ARCT",1
"892","BLPH",1
"893","BSTC",1
"894","CHEK",1
"895","CYCC",1
"896","DRAD",1
"897","EDAP",1
"898","EKSO",1
"899","EYES",1
"900","IRMD",1
"901","KTOV",1
"902","NVUS",1
"903","OGEN",1
"904","OPNT",1
"905","RGLS",1
"906","SLS",1
"907","SYN",1
"908","TENX",1
"909","TNXP",1
"910","TRIB",1
"911","XENE",1
"912","XTNT",1
"913","PRTO",1
"914","VRML",1
"915","ACER",1
"916","SMMT",1
"917","AEZS",1
"918","AKTX",1
"919","ALPN",1
"920","AMS",1
"921","APEN",1
"922","ATEC",1
"923","BASI",1
"924","BCLI",1
"925","BLFS",1
"926","BMRA",1
"927","BNTC",1
"928","BPMX",1
"929","BPTH",1
"930","BVXV",1
"931","CANF",1
"932","CAPR",1
"933","CATS",1
"934","CBLI",1
"935","CCM",1
"936","CDMOP",1
"937","CEMI",1
"938","CHMA",1
"939","CLBS",1
"940","CLRB",1
"941","CVM",1
"942","CYCCP",1
"943","CYTR",1
"944","DARE",1
"945","DVCR",1
"946","DYNT",1
"947","ELMD",1
"948","EPIX",1
"949","EVFM",1
"950","EVGN",1
"951","EVOK",1
"952","EYEG",1
"953","FCRE",1
"954","GENE",1
"955","ICCC",1
"956","IDXG",1
"957","IMMP",1
"958","ISR",1
"959","KMDA",1
"960","KZIA",1
"961","LAKE",1
"962","LLIT",1
"963","MESO",1
"964","MICR",1
"965","MLSS",1
"966","MSON",1
"967","MTP",1
"968","MYOS",1
"969","NAOV",1
"970","NAVB",1
"971","NBY",1
"972","NMRD",1
"973","NNVC",1
"974","OPGN",1
"975","ORMP",1
"976","PDEX",1
"977","PMD",1
"978","PRPH",1
"979","SLNO",1
"980","SSKN",1
"981","SSY",1
"982","TRIL",1
"983","VTGN",1
"984","VVUS",1
"985","VXRT",1
"986","XBIT",1
"987","XTLB",1
"988","CMCSA",4
"989","SIRI",1
"990","CZR",1
"991","F",4
"992","NKE",1
"993","BABA",1
"994","GM",4
"995","LOW",1
"996","MAT",1
"997","MIK",1
"998","DIS",4
"999","LEN",1
"1000","MGM",1
"1001","CCL",1
"1002","DISCA",1
"1003","EBAY",1
"1004","KBH",1
"1005","DISCK",1
"1006","ETSY",1
"1007","GES",1
"1008","WYNN",1
"1009","CHS",1
"1010","SBUX",1
"1011","LVS",1
"1012","IMAX",1
"1013","HD",4
"1014","MLCO",1
"1015","DHI",1
"1016","HRB",1
"1017","IPG",1
"1018","NYT",1
"1019","JCP",1
"1020","TV",1
"1021","SEE",1
"1022","M",1
"1023","TSLA",1
"1024","TPR",1
"1025","LKQ",1
"1026","FCAU",4
"1027","LULU",1
"1028","UAA",1
"1029","GTN",1
"1030","KAR",1
"1031","DKS",1
"1032","GPK",1
"1033","TJX",1
"1034","KSS",1
"1035","DRI",1
"1036","VFC",1
"1037","BLL",1
"1038","ODP",1
"1039","TOL",1
"1040","JMEI",1
"1041","GME",1
"1042","LB",1
"1043","TIF",1
"1044","DLPH",1
"1045","NCLH",1
"1046","WEN",1
"1047","GPS",1
"1048","MGA",1
"1049","AEO",1
"1050","NWS",1
"1051","IP",1
"1052","DAN",1
"1053","BBY",1
"1054","SBH",1
"1055","YUM",1
"1056","GIII",1
"1057","GT",1
"1058","FWONK",1
"1059","ARMK",1
"1060","APTV",1
"1061","CTB",1
"1062","SKX",1
"1063","PHM",1
"1064","FL",1
"1065","BBBY",1
"1066","MAR",1
"1067","SHOO",1
"1068","ANF",1
"1069","MTOR",1
"1070","EVC",1
"1071","TSCO",1
"1072","URBN",1
"1073","ETM",1
"1074","TPH",1
"1075","IGT",1
"1076","BLMN",1
"1077","GNTX",1
"1078","RCL",1
"1079","W",1
"1080","MDC",1
"1081","ALV",1
"1082","BYD",1
"1083","WGO",1
"1084","FBHS",1
"1085","EXPE",1
"1086","TVPT",1
"1087","OUT",1
"1088","CROX",1
"1089","QRTEA",1
"1090","TRIP",1
"1091","RH",1
"1092","VIAB",1
"1093","QSR",1
"1094","ETH",1
"1095","BGFV",1
"1096","CBS",1
"1097","WRK",1
"1098","MCD",4
"1099","AXL",1
"1100","SIG",1
"1101","TILE",1
"1102","CAKE",1
"1103","TMHC",1
"1104","BZUN",1
"1105","NWSA",1
"1106","ULTA",1
"1107","PRTY",1
"1108","JACK",1
"1109","CPRT",1
"1110","EAT",1
"1111","DXLG",1
"1112","OMC",1
"1113","MHK",1
"1114","SPWH",1
"1115","CTAS",1
"1116","HAS",1
"1117","AN",1
"1118","VC",1
"1119","DPZ",1
"1120","TTM",1
"1121","FIVE",1
"1122","SIX",1
"1123","HTHT",1
"1124","PENN",1
"1125","UA",1
"1126","THO",1
"1127","TGNA",1
"1128","THRM",1
"1129","HLT",1
"1130","PIR",1
"1131","STAY",1
"1132","ROST",1
"1133","CSL",1
"1134","WSM",1
"1135","BWA",1
"1136","CAL",1
"1137","OI",1
"1138","MATW",1
"1139","PLNT",1
"1140","MELI",1
"1141","SGMS",1
"1142","ARCO",1
"1143","JWN",1
"1144","SBGI",1
"1145","PLAY",1
"1146","TSE",1
"1147","LYV",1
"1148","ELY",1
"1149","H",1
"1150","EXPR",1
"1151","VSTO",1
"1152","DDS",1
"1153","CUK",1
"1154","KMX",1
"1155","PLCE",1
"1156","SCHL",1
"1157","SEAS",1
"1158","WPRT",1
"1159","BOOT",1
"1160","RL",1
"1161","ALSN",1
"1162","GPC",1
"1163","AMC",1
"1164","GCI",1
"1165","ORLY",1
"1166","HOG",1
"1167","TUP",1
"1168","TXRH",1
"1169","LZB",1
"1170","CVGI",1
"1171","MUSA",1
"1172","CNK",1
"1173","MTN",1
"1174","LEE",1
"1175","BJRI",1
"1176","EVRI",1
"1177","PII",1
"1178","TLRD",1
"1179","SCI",1
"1180","BERY",1
"1181","CCK",1
"1182","CPS",1
"1183","HIBB",1
"1184","LGIH",1
"1185","CMG",1
"1186","DNKN",1
"1187","FRAN",1
"1188","QUOT",1
"1189","PKG",1
"1190","DENN",1
"1191","MDCA",1
"1192","WLH",1
"1193","CETV",1
"1194","PZZA",1
"1195","BGI",1
"1196","POOL",1
"1197","COLM",1
"1198","CBD",1
"1199","LOCO",1
"1200","RUSHA",1
"1201","WMS",1
"1202","MCFT",1
"1203","ERI",1
"1204","OSTK",1
"1205","FOXF",1
"1206","LEG",1
"1207","BC",1
"1208","MBUU",1
"1209","CALI",1
"1210","ZUMZ",1
"1211","SSP",1
"1212","DLTH",1
"1213","GDEN",1
"1214","PVH",1
"1215","ASNA",1
"1216","VRA",1
"1217","BFAM",1
"1218","TEN",1
"1219","SUP",1
"1220","LL",1
"1221","LEA",1
"1222","TAST",1
"1223","MOD",1
"1224","WBC",1
"1225","SAH",1
"1226","HZO",1
"1227","SLGN",1
"1228","HMC",4
"1229","GPI",1
"1230","HOV",1
"1231","AMCX",1
"1232","TPX",1
"1233","PLYA",1
"1234","HVT",1
"1235","DIN",1
"1236","SON",1
"1237","NLS",1
"1238","GIL",1
"1239","NEWM",1
"1240","TCS",1
"1241","GEF",1
"1242","MPAA",1
"1243","MTH",1
"1244","CONN",1
"1245","TOUR",1
"1246","CHH",1
"1247","MDP",1
"1248","WWE",1
"1249","MINI",1
"1250","MMYT",1
"1251","BKNG",1
"1252","VSI",1
"1253","LCII",1
"1254","RRGB",1
"1255","HUD",1
"1256","SCVL",1
"1257","FUN",1
"1258","DORM",1
"1259","AIN",1
"1260","AZO",1
"1261","TM",3
"1262","LAD",1
"1263","FLWS",1
"1264","MSG",1
"1265","CBRL",1
"1266","ENT",1
"1267","LE",1
"1268","PAG",1
"1269","BBGI",1
"1270","EROS",1
"1271","GAIA",1
"1272","MSGN",1
"1273","BKE",1
"1274","TA",1
"1275","INWK",1
"1276","MNRO",1
"1277","MCHX",1
"1278","SHAK",1
"1279","PSO",1
"1280","FWONA",1
"1281","PATK",1
"1282","INUV",1
"1283","NXST",1
"1284","WING",1
"1285","BZH",1
"1286","KIRK",1
"1287","VAC",1
"1288","ZAGG",1
"1289","FGP",1
"1290","RELX",1
"1291","ICON",1
"1292","RGS",1
"1293","CCO",1
"1294","ATR",1
"1295","ABG",1
"1296","CATO",1
"1297","CCS",1
"1298","CHUY",1
