"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Market.Cap","cluster"
"CC 2014",-0.336442223703506,0.13815316432901,0.0128948533365212,0.0301863782602,-0.0461012784190024,2895469328,"2"
"LPX 2014",-0.478353447790365,-0.0033923562238953,0.000931046061617676,-0.0168139348911313,0.0031078828965609,2355022804.32,"2"
"NEM 2014",0.19348988058783,0.0681987373099578,2.90981221954885e-05,-0.0394189222542281,0.289681773655022,9427237614.9,"2"
"MEOH 2014",-0.306778389174725,-0.0732889236714972,0.0150787337390266,0.0665605515474568,-0.101045229445481,5.592e+09,"2"
"RIO 2014",4.97494293733676,-0.458469467869641,0.14380209419335,1.37067721869349,-1.83235657423655,109588050000,"15"
"EMN 2014",0.299388315450214,-0.153019047327464,0.00450538807693224,-0.00433863253716636,0.0292055971913083,11267288260.56,"2"
"MLM 2014",-0.343796678390812,-0.040603681305015,0.0106071348899332,0.0144753283290147,-0.0376236361386737,7421232467.6,"2"
"FOE 2014",-0.477722557972975,0.0304129153992136,-0.00151697428937133,-0.000257031648639092,-0.00917071295721776,1127337251.04,"2"
"MOS 2014",0.473516816442622,-0.0549757507253735,-0.0095496394568561,0.107106676159341,-0.411165763188012,16950641455.55,"2"
"MT 2014",1.07836121466876,-1.04104342661047,0.0187874661659393,0.101087783550738,-0.0463572001380703,28880630000,"9"
"CCJ 2014",-0.235399488168978,0.00625600138271796,-0.0238513182294692,0.00897750417621855,-0.115164416247823,4155754000,"2"
"AXTA 2014",-0.297798447371317,-0.0983653396139821,-0.00246185321429373,-0.0367348209479625,0.150575945954782,5978865868.52,"2"
"AEM 2014",-0.35303730912016,0.0916183429780846,0.00839264726672969,0.015286882221008,0.109368942712124,10572120000,"2"
